(---------------------------------------------------------------------)
(                                                                     )
(    PLCTXT Log                                                       )
(                                                                     )
(    Drawing          : Untitled_4.brd                                )
(    Software Version : 25.1P001                                      )
(    Date/Time        : Sat Jan 31 16:51:16 2026                      )
(                                                                     )
(---------------------------------------------------------------------)



 Place by text file using: C:/Users/lonewolf/Desktop/Custom Wireless Keyboard/Board/place_txt.txt

 Save as C:/Users/lonewolf/Desktop/Custom Wireless Keyboard/Board/#Taaaagx10776.tmp 
DS1                  !    11.8100 !     4.0414 !        0 !        ! NHD-0216XZ-FSW-GBW               !                                 
C23                  !    10.3766 !     4.7882 !       90 !      m ! CAPC17595_90N_KEM-L              !                                 
C24                  !     9.8347 !     5.2500 !      180 !      m ! CAPC17595_90N_KEM-L              !                                 
C25                  !    10.4523 !     4.7878 !       90 !      m ! CAPC17595_90N_KEM-L              !                                 
C26                  !    11.1845 !     4.7016 !        0 !      m ! CAPC17595_90N_KEM-L              !                                 
D8                   !     5.8291 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D9                   !     6.5392 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D10                  !     7.2880 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D11                  !     0.5640 !     3.8684 !        0 !        ! SODFL3816X120N                   !                                 
D12                  !     1.3363 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D13                  !     1.9787 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D14                  !     2.8575 !     3.8751 !        0 !        ! SODFL3816X120N                   !                                 
D15                  !     3.4763 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D16                  !     4.2251 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D17                  !     4.9739 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D18                  !     5.7227 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D19                  !     6.4584 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D20                  !     7.2880 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D21                  !     0.6683 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D22                  !     1.6049 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D23                  !     2.3525 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D24                  !     3.1771 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D25                  !     3.8947 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D26                  !     4.6001 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D27                  !     5.3489 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D1                   !     0.4811 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D28                  !     6.1642 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D29                  !     6.8465 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D30                  !     7.6630 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D31                  !     0.7619 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D32                  !     1.7915 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D33                  !     2.5403 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D34                  !     3.2891 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D35                  !     4.0379 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D36                  !     4.7867 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D37                  !     5.5795 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D2                   !     1.2739 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D38                  !     6.2876 !     2.3749 !        0 !        ! SODFL3816X120N                   !                                 
D39                  !     6.9888 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D40                  !     7.8677 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D41                  !     0.8683 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D42                  !     2.1653 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D43                  !     2.9153 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D44                  !     3.6641 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D45                  !     4.4129 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D46                  !     5.1617 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D47                  !     5.8968 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D3                   !     2.0539 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D48                  !     6.6768 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D49                  !     7.4933 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D50                  !     8.2234 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D51                  !     0.4680 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D52                  !     1.2299 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D53                  !     2.1216 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D54                  !     2.8027 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D55                  !     5.4419 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D56                  !     8.1563 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D57                  !     7.9691 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D4                   !     2.8027 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D58                  !     8.8533 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D59                  !     9.4667 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D60                  !    10.4885 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D61                  !     8.0368 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D62                  !     8.8555 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D63                  !     9.6021 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D64                  !    10.5091 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D65                  !    12.2651 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D66                  !    12.9480 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D5                   !     3.4763 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D67                  !    13.7280 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D68                  !    14.5027 !     3.8750 !        0 !        ! SODFL3816X120N                   !                                 
D69                  !     8.3669 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D70                  !     9.0929 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D71                  !     9.9094 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D72                  !    10.7253 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D73                  !    12.1153 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D74                  !    12.9792 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D75                  !    13.7227 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D76                  !    14.5339 !     3.1250 !        0 !        ! SODFL3816X120N                   !                                 
D6                   !     4.2691 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D77                  !     8.5984 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D78                  !     9.2795 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D79                  !    10.4155 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D80                  !    12.1627 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D81                  !    12.9792 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D82                  !    13.7280 !     2.3750 !        0 !        ! SODFL3816X120N                   !                                 
D83                  !     8.9803 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D84                  !     9.8411 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D85                  !    12.2807 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D86                  !    12.9792 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D7                   !     4.9739 !     4.6250 !        0 !        ! SODFL3816X120N                   !                                 
D87                  !    13.7227 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D88                  !    14.5651 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D89                  !     8.9179 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D90                  !     9.8895 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D91                  !    10.6651 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D92                  !    10.7899 !     1.6250 !        0 !        ! SODFL3816X120N                   !                                 
D93                  !    11.4706 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D94                  !    12.5424 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D95                  !    13.7539 !     0.8750 !        0 !        ! SODFL3816X120N                   !                                 
D97                  !    11.2323 !     4.5300 !       90 !      m ! LED_SML-D12U1WT86                !                                 
D98                  !    11.2632 !     4.1875 !      180 !      m ! WL-SMCW_0603                     !                                 
D96                  !    14.3836 !     5.1475 !       90 !        ! SODFL2512X73N                    !                                 
IC1                  !    14.7967 !     4.6988 !       90 !        ! ISP1807LRRS                      !                                 
IC2                  !    10.6150 !     4.8398 !        0 !      m ! SOT95P190X145-6N                 !                                 
J1                   !     9.6528 !     5.3750 !        0 !        ! SMC1051GT                        !                                 
J2                   !    14.4772 !     5.4375 !      180 !        ! GCT_USB4085-GF-A_REVB            !                                 
J3                   !    10.4652 !     5.2502 !      180 !      m ! CONN_1778764                     !                                 
J4                   !     8.9547 !     5.4333 !        0 !      m ! SAMTEC_MTLW-101-07-G-S-280       !                                 
LED1                 !     0.5029 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED10                !     6.9868 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED11                !     7.4745 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED12                !     8.0827 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED13                !     8.4970 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED14                !     8.9721 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED15                !     9.4885 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED16                !     9.9579 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED2                 !     1.0054 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED3                 !     1.7854 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED4                 !     2.4906 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED5                 !     3.3575 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED6                 !     4.0803 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED7                 !     4.7163 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED8                 !     5.4651 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
LED9                 !     6.2380 !     5.0317 !        0 !        ! XL-5050RGBC_XLG-L                !                                 
M1                   !    14.8824 !     0.2000 !        0 !        ! MNT_2P5MM                        !                                 
M2                   !     7.9248 !     5.3664 !        0 !        ! MNT_2P5MM                        !                                 
M3                   !     7.1136 !     0.1875 !        0 !        ! MNT_2P5MM                        !                                 
M4                   !     0.1601 !     5.3748 !        0 !        ! MNT_2P5MM                        !                                 
Q1                   !    14.1336 !     4.6250 !        0 !        ! SOT95P230X110-3N                 !                                 
Q2                   !    13.5408 !     4.9375 !        0 !        ! SOT95P230X110-3N                 !                                 
Q3                   !    10.8579 !     5.0000 !      180 !      m ! SOP65P640X120-8N                 !                                 
R1                   !    12.1683 !     5.0000 !      270 !        ! TRIM_3361S-1-103GLF              !                                 
R10                  !    14.2220 !     5.2451 !      270 !        ! RESC1508X50N                     !                                 
R7                   !    14.7268 !     5.2199 !      270 !        ! RESC1508X50N                     !                                 
R11                  !    11.1310 !     4.5372 !       90 !      m ! RESC1608X55N                     !                                 
R17                  !    11.2083 !     4.2689 !        0 !      m ! RESC1608X55N                     !                                 
R12                  !    11.6684 !     4.0747 !      180 !      m ! RESC1608X55N                     !                                 
R13                  !    11.6072 !     4.1875 !        0 !      m ! RESC1608X55N                     !                                 
R15                  !    10.8579 !     4.5625 !      180 !      m ! RESC1608X55N                     !                                 
R16                  !    11.0763 !     4.2500 !      180 !      m ! RESC1608X55N                     !                                 
R14                  !    10.8262 !     4.6250 !        0 !      m ! RESC1508X55N                     !                                 
R2                   !    14.5080 !     4.8750 !      270 !        ! RESC1508X50N                     !                                 
R3                   !    14.4144 !     4.7801 !      270 !        ! RESC1508X50N                     !                                 
R4                   !    14.5080 !     4.5926 !      270 !        ! RESC1508X50N                     !                                 
R5                   !    13.4773 !     4.5625 !        0 !        ! RESC1508X50N                     !                                 
R6                   !     0.3253 !     4.9804 !      270 !        ! RESC1508X50N                     !                                 
R8                   !    10.7563 !     4.8625 !        0 !      m ! RESC1608X55N                     !                                 
R9                   !    10.4230 !     4.8829 !        0 !      m ! RESC1608X55N                     !                                 
U1                   !    13.0416 !     4.9375 !        0 !        ! SOIC127P1030X265-16N             !                                 
U2                   !    11.4201 !     4.3501 !        0 !      m ! SOP127P600X175-9N                !                                 
U3                   !    11.7096 !     4.3357 !        0 !      m ! SOT323-5L_1P35X2P2X0P65_STM      !                                 
VR1                  !    10.7955 !     4.7500 !       90 !      m ! VREG_TLV75533PDRVR               !                                 

 Successfully placed 270 components
